tasting_notes,url
"Fruit- Forward, Deep, Floral",https://threecoffee.com/products/purple
"Vibrant, Floral, Sweet",https://threecoffee.com/products/green
"Red Fruit, Yellow Fruits, Floral",https://threecoffee.com/products/ethiopia-yaye-natural
"Lavender, Hoppy, Lychee",https://threecoffee.com/products/colombia-anaerobic-geisha-ipa
"Blackcurrant, Red Fruit, Sweet",https://threecoffee.com/products/colombia-inmaculada-signature-sudan-rume
"Funky, Floral, Tropical",https://threecoffee.com/products/panama-dynamic-cherry-geisha
"Prunes, Dried Fruit, Cherry",https://threecoffee.com/products/costa-rica-hacienda-bolivar-sl28-natural
"Jasmine, Cherry, Nectarine",https://threecoffee.com/products/panama-finca-hartmann-geisha-natural
"Raspberry, Cacao Nibs, Tropical Candy",https://threecoffee.com/products/colombia-frozen-cherry
"Floral, Berries, Stone Fruit",https://threecoffee.com/products/panama-altieri-mimas-geisha-anaerobic-natural
"Floral, Red Fruit, Sweet",https://threecoffee.com/products/rwanda-rugali-hypernatural
"Fruity, Floral, Sweet",https://threecoffee.com/products/magical-mystery-halloween-coffee
"Jasmine, Nectarine, Citrus",https://threecoffee.com/products/panama-finca-hartmann-geisha-washed
"Berries, Apple, Citrus",https://threecoffee.com/products/panama-finca-deborah-geisha-symbiosis-anaerobic-natural
"Floral, Jasmine, Stone Fruit",https://threecoffee.com/products/colombia-inmaculada-signature-geisha
"Floral, Sweet, Exotic",https://threecoffee.com/products/geisha
"Gooseberry, Blackcurrant, Chocolate",https://threecoffee.com/products/indonesia-carbonic-natural
"Lavender, Mango, Peach",https://threecoffee.com/products/colombia-mikava-natural-geisha
"Prunes, Berries, Cherry",https://threecoffee.com/products/panama-altieri-rola-151222-catuai-anaerobic-natural
"Mandarin, Tropical, Yellow Fruits",https://threecoffee.com/products/panama-finca-deborah-geisha-afterglow-natural
"Dried Fruit, Candy, Stone Fruit",https://threecoffee.com/products/yemen-naji-al-khoulani-anaerobic
"Jasmine, Peach, Citrus",https://threecoffee.com/products/panama-carmen-estate-washed-geisha
"Floral, Citrus, Brown Sugar",https://threecoffee.com/products/costa-rica-hacienda-bolivar-sl28-washed
"Peach, Lychee, Tropical",https://threecoffee.com/products/colombia-wilton-benitez-anaerobic-natural
"Floral, Red Fruit, Stone Fruit",https://threecoffee.com/products/panama-finca-momoto-geisha-natural
"Plum, Tropical, Spices",https://threecoffee.com/products/ethiopia-guji-anasora-anaerobic
"Red Apple, Cherry, Chocolate",https://threecoffee.com/products/yemen-wadi-jannat-alchemy-anaerobic
"Plum, Honey, Apricot, Apricot",https://threecoffee.com/products/panama-finca-bonita-sl28-natural
"Plum, Stone Fruit, Jammy",https://threecoffee.com/products/panama-jurutungo-geisha-anaerobic-honey
"Red Fruit, Stone Fruit, Dried Fruit",https://threecoffee.com/products/yemen-somara-village-anaerobic-natural
"Cherry, Apple, Sweet",https://threecoffee.com/products/costa-rica-volcan-azul-h1-hybrid
"Plum, Jammy, Brown Sugar",https://threecoffee.com/products/kenya-matunda-natural-1
"Berries, Kiwi, Melon",https://threecoffee.com/products/ethiopia-supernatural
"Cherry, Caramel, Chocolate",https://threecoffee.com/products/colombia-caturron-carbonic-maceration
"Berries, Candy, Floral",https://threecoffee.com/products/colombia-disco-carbonic-natural
"Yellow Fruits, Red Fruit, Brown Sugar",https://threecoffee.com/products/panama-savage-essence-carbonic-maceration-natural
"Balance, Rich, Smooth",https://threecoffee.com/products/brown
"Floral, Pineapple, Berries",https://threecoffee.com/products/cololmbia-las-margaritas-natural-geisha
"Dried Fruit, Stone Fruit, Chocolate",https://threecoffee.com/products/yemen-shaiaan-anaerobic-natural
"Jasmine, Peach, Mandarin",https://threecoffee.com/products/ethiopia-bombe-spsv
"Berries, Floral, Sweet",https://threecoffee.com/products/burundi-anaerobic-lot-4
"Blueberry, Pineapple, Papaya",https://threecoffee.com/products/ethiopia-gesha-village-1931-surma
"Stone Fruit, Black Tea, Sweet",https://threecoffee.com/products/ethiopia-limu-gera-g-1
"Purple Fruit, Cherry, Tropical",https://threecoffee.com/products/panama-savage-parabolic-carbonic-maceration-natural
"Plum, Cherry, Brown Sugar",https://threecoffee.com/products/el-salvador-llano-grande-pacamara-natural
"Fruit- Forward, Floral, Nectarine",https://threecoffee.com/products/panama-iris-estate-geisha-symbiosis-anaerobic-natural
"Cherry, Vibrant, Cacao",https://threecoffee.com/products/guatemala-nebula-carbonic-geisha
"Turkish Delights, Berries, Stone Fruit",https://threecoffee.com/products/yemen-peaberry
"Milk chocolate, red grape, blueberry, & syrupy",https://www.proudmarycoffee.com.au//collections/coffee/products/ghost-rider
"Green apple, lime, & passionfruit",https://www.proudmarycoffee.com.au//collections/coffee/products/colombia-la-cereza-pink-bourbon-washed-filter-250g
"Dried apricot, raw sugar, & vanilla",https://www.proudmarycoffee.com.au//collections/coffee/products/brazil-serra-das-tres-barras-yellow-bourbon-pulped-natural-espresso-250g
"Blackcurrant, dark chocolate, & tropical fruit",https://www.proudmarycoffee.com.au//collections/coffee/products/honduras-nahun-fernandez-parainema-anaerobic-natural-filter-250g
"Panela, apple, & stone fruit",https://www.proudmarycoffee.com.au//collections/coffee/products/honduras-chicos-buenos-mixed-washed-filter-250g-2
"Blueberry, milk chocolate, & plum",https://www.proudmarycoffee.com.au//collections/coffee/products/honduras-nahun-fernandez-mixed-natural-espresso-250g
"Caramel, green apple, & honey",https://www.proudmarycoffee.com.au//collections/coffee/products/honduras-balbina-sabillon-parainema-honey-espresso-250g
