name,tasting_notes,price,description,url
Ghost Rider,"Tasting Notes
Milk chocolate, red grape, blueberry, & syrupy",$24.00,"Tasting Notes: Milk chocolate, red grape, blueberry, & syrupy
The Ghost Rider blend by Proud Mary is designed to cut through milk and create a sweet and fruity latte or espresso. Its flavour profile is exciting and easy to brew - a coffee for the adventurous!
Ghost Rider is comprised of natural processed coffees from South America and Africa. Currently it is comprised of coffee from Brazil - brings the base notes of milk chocolate and a syrupy mouthfeel, and Ethiopia brings the high fruity notes of red grape and blueberry. This fine recipe won the Golden Bean Award in Australia in 2013 and then went on to win three more gold medals back-to-back!
At Proud Mary, we utilise only fresh seasonal components direct from our amazing producer partnerships at origin. Many hands have helped make this blend special, and by drinking Ghost Rider, you are supporting a sustainable supply chain and our direct relationships with producers from Brazil and Ethiopia.",https://www.proudmarycoffee.com.au//collections/coffee/products/ghost-rider
Colombia | La Cereza | Pink Bourbon | Washed | Filter | 250g,"Tasting Notes
Green apple, lime, & passionfruit",$50.00,"Region: San Agustin, Huila
Elevation: 2250 masl
About: Established in 2016, La Cereza (The Cherry) is a community wet mill, research centre, and eco-farm located in the lush green hills above San Agustin, Huila. From here, Felipe Ospina processes coffees from surrounding farms, runs training courses and carries out experiments to make coffee tastier and more sustainable. While the wet mill and research centre are the shared brain of Felipe’s operation, the farm at La Cereza is the beating heart. From tiny seedlings to ripe cherry, it’s ground zero for all of Felipe’s endeavours.  This lot was picked on the edge of over-ripeness and processed as a traditional washed coffee. Pink Bourbon is a rare variety and is thought to be a natural hybrid of Yellow and Red Bourbon. This coffee is incredibly sweet and complex, the high glucose content of Pink Bourbon gives it a silky mouthfeel.",https://www.proudmarycoffee.com.au//collections/coffee/products/colombia-la-cereza-pink-bourbon-washed-filter-250g
Brazil | Serra das Tres Barras | Yellow Bourbon | Pulped Natural | Espresso | 250g,"Tasting Notes
Dried apricot, raw sugar, & vanilla",$26.00,"Region: Carmo de Minas, Minas Gerais 
Relationship: Since 2011
Altitude: 1100-1450 masl 
The Junqueira family has cultivated coffee at Serra das Tres Barras for eight generations. Leading the way is Jose Wagner Ribeiro Junqueira, with his wife, Margarida, and his sons Kleber, Ralph, and Herbert. Their farm sits at an elevation of 1,100 to 1,450 meters above sea level, and they focus on producing high-quality micro-lots. Serra das Tres Barras stands out from other Brazilian farms due to its unique approach. In Brazil, labour costs are high, making it challenging for large farms to hire enough workers for harvesting. Consequently, many farms rely on machines for the task. However, at Serra das Tres Barras, workers are employed to meticulously hand-pick the cherries. In 2011, Nolan, the founder of Proud Mary, first visited Jose Wagner. Since then, Proud Mary has formed a lasting partnership with him. Jose's coffee transformed Nolan's perception of Brazilian coffee, and in 2012, he purchased the entire Cup of Excellence #4, Jose's coffee, and sold it as the house espresso to spread the message of how unique Brazilian coffees can be. Year after year, Jose's coffee continues to impress, and this year is no exception.",https://www.proudmarycoffee.com.au//collections/coffee/products/brazil-serra-das-tres-barras-yellow-bourbon-pulped-natural-espresso-250g
"""Pic'n'Mix"" | Espresso Roast |  Blend | 250G",no tasting notes,$54.00,"BUILD YOUR OWN COFFEE BUNDLE
Need to stock up? Feeling picky?
Our ""Pic'n'Mix"" coffee bundles give you the ability to dial into your favourite flavours at a special discounted price!
WHAT DO I GET?
Three bags of Blend - Espresso Roast at a 10% discount.Select from our three blends and leave the rest to us.
Humbler: This big-bodied blend is designed to cut through milk and create a chocolatey latte or a rich and syrupy espresso. It is sweet, approachable, and easy to brew, making great coffee accessible to everyone.
Angel Wings: Angel Wings is designed to cut through milk and create a sweet and caramelly latte or espresso. Its flavour profile is interesting and easy to brew - a real crowd pleaser!
Ghost Rider:Ghost Rider is designed to cut through milk and create a sweet and fruity latte or espresso. Its flavour profile is exciting and easy to brew - a coffee for the adventurous!
DETAILS:

Can I receive the coffee ground? Yes, let us know your preference in the checkout note. E.g AeroPress, Moccamaster etc.",https://www.proudmarycoffee.com.au//collections/coffee/products/picnmix-espresso-roast-blend
"""Pic'n'Mix"" | Espresso Roast | Single Origin | 250G",no tasting notes,$64.80,"BUILD YOUR OWN COFFEE BUNDLE
Need to stock up? Feeling picky?
Our ""Pic'n'Mix"" coffee bundles give you the ability to dial into your favourite flavours at a special discounted price!
WHAT DO I GET?
Three bags of our espresso roast coffee at a minimum 10% discount.Select from our three single origin coffee categories and leave the rest to us.
DETAILS:

Can I choose the exact coffee, process or variety? No, but let us know a favourite in the checkout note and we'll do our best to add it to the bundle.
If you order 3 of one category you will likely receive multiples of the same coffee
Can I receive the coffee ground? Yes, let us know your preference in the checkout note. E.g Espresso, Stovetop etc.",https://www.proudmarycoffee.com.au//collections/coffee/products/copy-of-picnmix-filter-roast-single-origin
Honduras | Nahun Fernandez | Parainema | Anaerobic Natural | Filter | 250g,"Tasting Notes
Blackcurrant, dark chocolate, & tropical fruit",$34.00,"Region: Las Flores, Santa Barbara
Elevation: 1500-1550 masl
About: Proud Mary's connection to the Santa Barbara region of Honduras began all the way back in 2012 when we were introduced to a small group of producers situated around the town of Peña Blanca, close to the shores of the stunning Lake Yojoa. More than a decade later, that group of producers has grown in number, and our relationships have deepened. Nahun was one of the first producers we ever started working with. Back then, he grew traditional varieties and only used the washed method. Today, he is a processing master and has become a leader in his community by sharing all the techniques he has learnt. The coffee quality produced in the Las Flores community has improved. Nahun has placed in the Cup of Excellence competition three times, each was with some variation of his Parainema. His natural anaerobic process ranked 4th in 2022, and his was the only non-Geisha in the top seven places! This coffee blows the flavour roof completely off!",https://www.proudmarycoffee.com.au//collections/coffee/products/honduras-nahun-fernandez-parainema-anaerobic-natural-filter-250g
Honduras | Chicos Buenos | Pacas & Catuai | Washed | Filter | 250g,"Tasting Notes
Panela, apple, & stone fruit",$24.00,"Region: Santa Barbara
Elevation: 1500-1650 masl
About: In 2018, we noticed that our Honduran producers were doing so well that their production was increasing quicker than we could sell. Enter… Chicos Buenos (Good Guys). Chicos Buenos is a community blend that we created with our producers in Santa Barbara so we could take more of their coffee. Because this coffee is a blend of several different lots, it scores higher than any of the individual components. It truly is more than the sum of its parts. Chicos Buenos brings the fruit to our Angel Wings blend but also makes a great stand-alone brew. For the 2022 harvest, the producers who contributed to this blend are Balbina Sabillon, Nahun Fernandez, Ovidio Gomez, & Manuel Vallecillo.",https://www.proudmarycoffee.com.au//collections/coffee/products/honduras-chicos-buenos-mixed-washed-filter-250g-2
Honduras | Nahun Fernandez | Pacas & Catuai | Natural | Espresso | 250g,"Tasting Notes
Blueberry, milk chocolate, & plum",$28.00,"Region: Las Flores, Santa Barbara
Elevation: 1500-1550 masl
About: Proud Mary's connection to the Santa Barbara region of Honduras began all the way back in 2012 when we were introduced to a small group of producers situated around the town of Peña Blanca, close to the shores of the stunning Lake Yojoa. More than a decade later, that group of producers has grown in number, and our relationships have deepened. Nahun was one of the first producers we ever started working with. Back then, he grew traditional varieties and only used the washed method. Today, he is a processing master and has become a leader in his community by sharing all the techniques he has learnt. After a conversation with Nolan (the founder of Proud Mary) in 2016, Nahun decided to process his first-ever natural coffee. It was such a huge success that he has been doing it ever since. This coffee is sweet and syrupy with notes of plum and milk chocolate.",https://www.proudmarycoffee.com.au//collections/coffee/products/honduras-nahun-fernandez-mixed-natural-espresso-250g
"""Pic'n'Mix"" | Filter Roast | Single Origin | 250G",no tasting notes,$64.80,"BUILD YOUR OWN COFFEE BUNDLE
Need to stock up? Feeling picky?
Our ""Pic'n'Mix"" coffee bundles give you the ability to dial into your favourite flavours at a special discounted price!
WHAT DO I GET?
Three bags of single origin coffee at a minimum 10% discount.Select from our three coffee categories and leave the rest to us.
DETAILS:

Can I choose the exact coffee, process or variety? No, but let us know a favourite in the checkout note and we'll do our best to add it to the bundle.
If you order 3 of one category you will likely receive multiples of the same coffee
Can I receive the coffee ground? Yes, let us know your preference in the checkout note. E.g AeroPress, Moccamaster etc.",https://www.proudmarycoffee.com.au//collections/coffee/products/picnmix-bundles-filter-roast-single-origin
Honduras | Balbina Sabillon | Parainema | Honey | Espresso | 250g,"Tasting Notes
Caramel, green apple, & honey",$29.00,"Region: Las Flores, Santa Barbara
Elevation: 1300 masl
About: In 2018, Balbina became the first female producer we started working with in Honduras. Her family have been producing coffee in Santa Barbara for three generations, and today she works on her modest farm with her two children. Balbina’s farm is planted exclusively with Parainema (and a little bit of Geisha) because it thrives a low to medium altitudes. There's also something different about Balbina’s land that makes her Parainema a bit sweeter and rounder than the surrounding areas. Balbina loves spending time in her garden when she's not tending to her farm. She is a succulent enthusiast and loves growing unusual and interesting plants. A few years ago, she began experimenting with honey and natural processes on her Parainema. When processed as a honey, this coffee is extra sweet with caramel, honey, and green apple notes.",https://www.proudmarycoffee.com.au//collections/coffee/products/honduras-balbina-sabillon-parainema-honey-espresso-250g
