name,tasting_notes,price,description,url
Purple Drip Kit Box,"Fruit- Forward, Deep, Floral",75.00 AED,"Welcome to Sweetness. This Drip Box contains a mix of our Purple Range micro-lot coffees. Our Purple coffees are sweet, floral and display deep, fruited notes. We’ve put this Goodie Box together because it represents the best of what Purple Range coffees represent; sweetness, florals, and fruits. Expect dried fruits, berries, florals, and a deep sweetness.
Each Drip Box contains 7 individual drip pouches. Each pouch makes one cup of filter coffee.",https://threecoffee.com/products/purple
Valentines Coffee Calendar,"n, o,  , t, a, s, t, i, n, g,  , n, o, t, e, s",249.00 AED,"The Advent Calendar has 30 drip bags, one for each day of the month. 
Each a different coffee with its own unique flavour profile. Every day brings a different coffee, aroma, taste and sensory experience. 
Happy brewing!",https://threecoffee.com/products/valentines-coffee-calendar
Green Drip Kit Box,"Vibrant, Floral, Sweet",90.00 AED,"Welcome to Vibrancy. This Goodie Box contains a mix of our Green Range micro-lot coffees. We’ve put these coffees together because they represent the best of what our Green Range coffees represent; vibrancy, florals, and sweetness. Expect orange and yellow fruit notes, white florals, and a sugary sweetness. If you enjoy coffees that are fruit-driven with a vibrant acidity, this Goodie Box is for you.
Each Goodie Box contains 7 individual drip pouches. Each pouch makes one cup of filter coffee.",https://threecoffee.com/products/green
Ethiopia Yaye Natural,"Red Fruit, Yellow Fruits, Floral",69.00 AED,"This coffee was grown in an area of Sidama called Arbegona. Arbegona is one of the highest coffee producing areas in Ethiopia, sitting at an average of 2300 m.a.s.l. With such high altitude, the temperature is cooler and coffee cherries ripen slower than normal. This impacts the cup profile of this coffee in predictable ways, giving it a higher sweetness and more vibrant acidity. Expect notes of red fruits, stone fruit, and florals in the cup paired with a long, sticky sweetness.",https://threecoffee.com/products/ethiopia-yaye-natural
Colombia Anaerobic Geisha IPA,"Lavender, Hoppy, Lychee",70.00 AED,"This Geisha IPA was produced by Campo Hermoso, a producer known for experimental processing. The cherries are first pulped and placed in tanks with an IPA yeast. They're left to ferment for 48 hours anaerobically. After, they're removed, washed and left to dry slowly for 18-21 days. Expect notes of florals and sweet white fruits in the cup.",https://threecoffee.com/products/colombia-anaerobic-geisha-ipa
Colombia Inmaculada Signature Sudan Rume Anaerobic Natural,"Blackcurrant, Red Fruit, Sweet",99.00 AED,"Julian from Inmaculada is one of the most prestigious producers in the world. Inmaculada's fame is not only due to their rare varietals but also the attention to detail in quality control. This particular lot is the Sudan Rume variety and has been processed as a regular Natural. It is also part of the ""Signature"" series, the more premium of Julian's farms' offerings. Expect notes of purple fruits, florals and a deep sweetness.",https://threecoffee.com/products/colombia-inmaculada-signature-sudan-rume
Panama Geisha Coffee - Dynamic Cherry,"Funky, Floral, Tropical",229.00 AED,"This Panama Geisha Dynamic Cherry coffee is produced by Creativa Coffee District (CCD), a cooperative specialising in helping farmers process their coffee. This particular lot, RSV36, was farmed by Enrique Pretel, a 77-year-old coffee producer in Boquete. His farm is six hectares in size, currently cultivating 7,000 coffee trees. Processed in CCD's trademark ""Dynamic Cherry"" fermentation, this RSV36 Geisha lot underwent a longer fermentation style with the anaerobic fermentation process stretching to 96 hours. As a result, expect loads of red and purple fruits, funkiness and rich texture in a cup. Enjoy Dynamic Cherry coffee freshly roasted by THREE Coffee when you order here.",https://threecoffee.com/products/panama-dynamic-cherry-geisha
Costa Rica Hacienda Bolivar SL28 Natural,"Prunes, Dried Fruit, Cherry",65.00 AED,"Hacienda Bolivar has its own micromill, which enables the farm to keep lots separated by variety and create unique microlots. Diego experiments a lot with different versions of naturals, honeys and anaerobics, always searching for new and unique flavours in his coffees. This particular lots was processed as a slow-dry natural, giving it intensity and a profile dominated by red and purple fruits.",https://threecoffee.com/products/costa-rica-hacienda-bolivar-sl28-natural
Panama Finca Hartmann Geisha Natural,"Jasmine, Cherry, Nectarine",100.00 AED,"The Hartmann's consistently produce some of the best coffees in Panama, winning several awards in the prestigious Best of Panama (BOP) competition. This particular Geisha lot is from the Jardin area of the Hartmann Estate and is processed as a regular, slow-dry Natural with a drying time of 28 days. Expect notes of Jasmine, Stone fruit, like Nectarine and Cherry, Red fruits and an intense sweetness.",https://threecoffee.com/products/panama-finca-hartmann-geisha-natural
Colombia Frozen Cherry,"Raspberry, Cacao Nibs, Tropical Candy",150.00 AED,"Frozen Cherry Coffee
This micro-lot was grown by Felipe Trujillo, a fourth-generation coffee producer from Santa Bárbara, Antioquia, Colombia. This lot was frozen for 16 days at -18ºC as it slowly ferments.
After 16 days, the cherries were removed from the industrial freezer and spread on sunbeds for five to six weeks until the moisture content of the green beans reached below 11%. This is a great example of a pioneering post-harvest process that produces amazing fruit qualities.
With a cup of frozen cherry coffee from Colombia, you can expect notes of raspberry, chocolate, cream and cherries – a true fruit bomb.
Experience the care and expertise put into the production of this unique coffee when you order here.",https://threecoffee.com/products/colombia-frozen-cherry
